          К содержанию,,,,,,,,
Валовой региональный продукт по субъектам Российской Федерации в 2016-2023 гг.1)2) (в текущих ценах; миллионов рублей),,,,,,,,
,2016,2017,2018,2019,2020,2021,20222),20232)
Пензенская область,358258.2,376076.2,411028.7,448521.1,484785.4,540115.8,588291.7,659002.8
Самарская область,1364822.2,1449005.7,1625558.7,1689575.4,1625461.8,2157662,2367618.4,2646488.2
Саратовская область,700848.6,728946.4,773838.6,809822.6,856515.7,1009797.7,1176232,1345119
Ульяновская область,366954.7,374827.9,386675.4,424995.6,438968.9,508499.1,586437.6,673635.5
Уральский федеральный округ,9770442.7,10983195.0,13035608.4,13272019.3,11636178.1,16913972.2,19917472.6,23044267.6
Курганская область,202100.4,209985.5,215589.9,236825.8,240188.2,272175.2,336231.3,380466.7
Свердловская область,2109619.1,2259526,2423689.4,2535215,2512654.9,3083947.1,3443588.6,4128119.1
Тюменская область,6125961.8,7097070.2,8875003.7,8952460.5,7280595.6,11492922.3,13908749.1,15946597.2
в т.ч. Ханты-Мансийский автономный округ-Югра,3130196.4,3557367.1,4506739.7,4558879.8,3341832,5700228.3,6880235.3,8628903.5
Ямало-Ненецкий автономный округ,2028234.6,2456293.7,3051613.1,3158827.6,2767734.5,4219244.6,5305603.6,5379401.8
Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа),967530.8,1083409.4,1316650.9,1234753.1,1171029.2,1573449.4,1722910.2,1938291.9
Челябинская область,1332761.4,1416613.3,1521325.4,1547518,1602739.4,2064927.6,2228903.6,2589084.6
Сибирский федеральный округ,6975354.3,7653768.9,8701658.8,9090340.5,9021766.5,11417377.7,12972641.5,13962117.7
Республика Алтай,47434.9,48415.2,54069.4,57064,62850.8,74513.4,89613.1,108336.5
Республика Тыва,58001.1,65038.9,73681.6,79321.3,82230.8,91529.3,107913.7,122532.5
Республика Хакасия,207742.6,218148.4,242341.1,256322.3,266213.2,315304.4,345846.6,378551.6
