К содержанию,,,,,,,,,,,,,,,,,,
Валовой региональный продукт по субъектам Российской Федерации в 1998-2015 гг. (в текущих ценах; миллионов рублей),,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Псковская область,6161.2,11142.4,16178.9,19416.9,24098.9,29488.4,35816,40582.9,51464.9,61561.9,73283.2,74647.8,87066,100498.5,107547.5,114676.2,123825.6,135239.5
г.Санкт-Петербург,86112.2,134354.2,188243,251654.4,336692.3,409638.5,542359.2,666392.8,825102.3,1119660.3,1431839.6,1475805.3,1699486.4,2091914.3,2280426,2491423.3,2661210,3387417.7
Южный федеральный округ,134769.4,230255.9,329695.3,426507.8,519019.2,616085.3,766851.3,936055.9,1195194.5,1577082.9,2001111.5,1994912.5,2337936.9,2777791.9,3185419.8,3574075.7,4146212.1,4636315.5
Республика Адыгея,3112.6,4524.8,5519.6,6641.8,7909.9,9849.3,12493.2,17029.1,21132.4,29085.1,36134.4,41511.5,47194.5,56803.3,65300.4,70862.3,75622.5,84306
Республика Калмыкия,1525.3,2198,6212.6,6732,7272.3,6539.5,8518.5,9685.7,12844.1,17225.8,20789.7,23948.1,24404.1,29318.7,35897.8,41165.9,46680.6,51958.5
Республика Крым,,,,,,,,,,,,,,,,,189439.2,265970.6
Краснодарский край,51621.9,98882,137125.3,179177.5,217727.6,248565.5,313623.6,372929.8,483950.7,648211.3,803834.1,861603.3,1028308.4,1244652.8,1459490.8,1662969.1,1784833.5,1933512.1
Астраханская область,10356.3,16032.8,28115.7,32274.3,40994.9,50659.8,56710.9,70127.6,85112.1,100359.2,147549.1,134418.2,144888.8,172616.6,209654.4,273917.1,296319.3,322303
Волгоградская область,30261.5,44411.1,63767.1,82919.7,104341.2,128622.2,154337.7,203232.2,252142.7,331766.8,416678.5,377514.3,433473.7,508433.3,571516.1,607472.2,715409.6,740458
Ростовская область,37891.8,64207.2,88955,118762.5,140773.3,171849,221167.4,263051.5,340012.5,450434.7,576125.7,555917.1,659667.4,765967.2,843560.3,917689.1,1007758.8,1189144
г.Севастополь,,,,,,,,,,,,,,,,,30148.6,48663.3
Северо-Кавказский федеральный округ,50235.3,73692,105178,142442.1,174564.1,220169.6,275606.3,352070,457117.5,573220.1,728230.9,786670.9,891834.3,1066319.6,1209038.8,1397672.6,1577951.5,1709050.7
Республика Дагестан,8480.3,13014.1,20921.1,31544,41441,57626.7,80712.4,90442.6,124153.5,156928.8,216277.2,257832.7,274354.2,330322.8,374710.3,452882.2,528131.3,569297.3
Республика Ингушетия,1025.2,1635.9,2618.5,3604.3,3582.1,4756.6,6210.4,7419.3,9033.5,16812.4,19172.9,18953.3,19929.1,26858.9,37413.9,45766.7,51908.2,50091
Кабардино-Балкарская Республика,5723.1,9674,14081.3,19443.3,22774.5,25997.4,29052.9,36833.4,43309.7,48908.7,58093.4,65660.1,77086.4,90594.5,106711.2,110971.5,116886,120528.8
