,2016 год,,,,,,,,,,,,2017 год,,,,,,,,,,,,2018 год,,,,,,,,,,,,2019 год,,,,,,,,,,,,2020 год,,,,,,,,,,,,2021 год,,,,,,,,,,,,2022 год,,,,,,,,,,,,2023 год,,,,,,,,,,,,2024 год,,,,,,,,,,,,2025 год,,,,,,,,,,,
,январь,январь-февраль,январь-март,январь-апрель,январь-май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь-май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь-май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь-май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь-май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь-май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь-май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь- май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь- май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь,январь,январь-февраль,январь-март,январь-апрель,январь- май,январь-июнь,январь-июль,январь-август,январь-сентябрь,январь-октябрь,январь-ноябрь,январь-декабрь
Курская область,1842.7,4288.5,6558,8774.1,12199.3,16369.1,20795.3,25579.2,30497.8,35368.5,38959.1,44911.5,2328.2,4427.9,6820.1,10034.3,13747.8,19084,24877.7,29844.8,36006.9,40916.4,45457.6,50200.5,1535.5,3835.8,6419.1,10086.3,14793.4,20529.9,26587.1,33083.3,38931.3,43591.5,47818.1,57126,2248.2,5111,8845.3,12803.9,18576.7,26700.2,32841.9,42087.1,49586.4,56819,65284.4,77081,2345.9,5514.3,11030.6,15549.8,21819.5,29665,37532.4,45399.9,53945.5,62850.1,71270.3,82453,2221.4,6580,11709.5,18104.8,25562.4,35967.5,46472.6,57611.5,68388.8,77997.4,91388.1,112268,5430.3,12706.9,20077.3,27348.3,38505.4,53306.8,67952,83058.2,98556,112629.5,125881.5,148635.8,8228.7,18100,30310.6,41291.1,54883.8,71420.8,90022.7,105296.2,120964.7,134099.4,150916.1,176490,7560.4,17235.2,29560.9,43323.7,60825.7,77148.2,106028.8,128706.3,147662.9,163043.8,181995.4,212428.8,7617.5,16466.6,26058.5,44363.9,60987.8,81426.1,100262.2,116833,135568.9,,,
Липецкая область,2014.7,3598,6270.8,8576.3,11258.8,14284.5,17558.1,20434.7,25001.1,30436.2,36461,42387.9,2785,5040.4,8213.7,10776.5,14214.1,18284,21803.8,26338.4,30447.8,36685,42746.9,48597.2,2706.5,5823.6,10705.2,14208.1,19081.6,24462.5,29789.6,35234.8,40464.2,45671.2,51045.3,56015.2,3322,6968.7,10633.4,15743.9,21558.3,27987.5,35046.5,42027.3,49144.1,55414,62361.9,67817.6,4894.2,10250.5,13912.4,19268.7,24856.1,31290.6,39034.6,46316.4,54667.3,62796.4,70309.2,77019.9,4777.1,7617.2,12177.3,17737.7,23841.9,32534.7,41408,48253.5,54198.2,60831.1,67634.3,75787,3232.1,8430,15323.1,21373.3,26349.3,33418.9,41490.8,47479,59221.8,65716.4,73167,91059,4212.7,9163.9,14688.3,23197.9,31674.9,43039.4,52138.4,63190.8,71885,81545,91218.3,105405,6447.6,14053.9,21615.9,33970.2,43521.2,55320.2,70925,85722.1,98739.8,118769.4,130578.5,153180.1,6897.1,15493.9,21805.5,32272.7,41891,51683,63558.5,76744.1,90542.4,,,
Московская область,12667.7,29910.3,47833.6,66815.3,86326.6,112570.4,141817.4,172977.5,207324.6,249050.9,288106.1,328468,9773.6,24681.6,48070.1,70598.9,101692.8,132048.7,167712.5,204052.6,238690.9,276154.7,316201,357555,26174.3,48798.9,74478.1,103296,138813.6,183749,230343.5,265839.1,305179,351739.4,406986.7,469584,27804,53876.4,86022.1,118604.6,154260.7,199564.5,243686.4,288897.9,334914.6,386410.8,436775.3,520116.6,23395.5,45453.5,76068.5,106890,138084.3,180998.9,232976.8,284760,341331.4,413666.2,487937.9,572893.8,23435.2,45420.9,73598.9,104851.6,136316,178547.3,229049.1,277221.3,329973.4,391510.9,456222.7,536546.2,30421,61884.5,94830.3,138792,189347.4,250493.8,317430.8,386027.7,453507.2,530815.1,612219.9,712509.4,35177,78541.6,122678.9,190155.4,245978.3,305076.6,366356.3,443608.9,503097.5,559106.5,610708.6,719436.6,32435.5,71401.1,116573.9,182303.1,245011.9,303548.2,371117.3,443030.7,507296.8,570843.2,629157.5,745700.9,37801.9,78920.6,127549.9,192296.1,259698,324001.4,400786.9,476115.4,554979.2,,,
Орловская область,602,1506.4,3528,5526.2,7312.7,9105.3,11030.3,12943.4,14566.3,16624.7,19055.8,19544.1,1076.6,2455.8,4496.6,6243.4,8282.9,10010.1,12369.4,14402.9,16872.5,18526.6,19825.5,21215.1,878.3,2074.9,2957.2,4072.1,5951.2,8444.5,10672.9,13168.7,16448.9,17901.5,20020.6,22747.4,1313.8,2841.2,4279,5975.1,7753.1,10268.6,13339.3,16338.8,19174.9,21745.9,24103.4,27027.5,1117.7,2626.1,5045.9,6992,9416.4,13663.9,16287.4,19866.9,22129.6,24406.8,25961.3,29405.8,1262.7,3321.7,5548.2,7446.6,9122.2,11252.6,14500,17170.9,19927.8,22099.9,26127.9,32846.1,3404,6162.5,8398,10655.8,13752.3,17014.7,20068.1,23555.1,27615.7,30299.4,33602.7,35517.4,1721.8,3455.7,5164,7382.3,10354.1,12947,16353.1,19968.3,25059.8,29236.9,32708,38655.9,2703.6,4760.2,7403.8,9942,12547.1,15097.3,18109.6,21246.4,23320.9,26149.1,28637.5,36415.6,1050.2,2451.4,4471.8,7591.7,11516.7,14966.4,20725,25037,32084.4,,,
Рязанская область,598.5,1232.5,3127.2,4348.3,5586.8,8129,10862.5,15401,18257.8,22254.3,27711,40195.7,905.1,2445,4694.9,7272,10657.1,14611.6,20195,24769.3,29515.3,36509,42211.5,45602.2,1580.6,3014,6895.1,9991.1,13593.2,18980.7,23907.4,28385.7,32339.4,37879.6,46260.2,49224.9,1928.5,4908.2,7446.6,9625.1,12055.2,17872.9,29488,32998.8,39258.7,44363.8,49769.1,54701.8,2309.3,4714,7303.7,10271.2,13434.2,18203.3,22104.1,25922.3,32019.2,37878.8,44372.3,50453.6,2172.6,4462.5,7496.9,10594,14049,18914.2,24978.8,29957.8,36800.5,43543.2,49688,54902.3,1681.9,4695.2,7355.2,10053.3,13985.8,18546,24170.8,30362.6,37655.8,45506.5,52997.4,61546.4,1597.3,5173.1,7753.4,10122.4,15713.7,21487.3,27010.4,35942.6,44005.1,54546,64439.4,74586.5,3666.5,6934.7,11948.8,15874.5,22847.4,31865.6,40572.5,51241.5,60245.9,72365.1,82349.3,93654.1,4651.8,8450.8,15550.9,24374.9,31269.4,43840.9,51504.9,59776.9,72928,,,
Смоленская область,921.3,1942.4,3028.4,4148.8,5707.2,8082.8,10377.1,12504.6,14723.6,17415.8,19645.6,23923.6,983.6,2149.4,3667.1,5444.1,7955.1,10780.5,13738,15981.2,18800.6,20892.1,22822.1,25175.6,1183.4,2414.6,3465.2,5007.1,7922.3,10315.3,13923.6,16883.7,19053.1,20929,22523.7,24446.5,1290.7,2363.7,3416.5,4909.5,7339.8,10334.3,14432.8,17205.4,19962.4,22197.6,24197.1,26401.9,946.1,1618.2,2500.1,3743.9,5880.2,8445,11259.8,14926.7,18540.4,21438.6,24605.4,27229.6,522.3,1271.1,2062.7,3020.4,4822.7,7829.9,10482.5,12668.5,17216.6,21410.6,24863.9,29513.5,462.2,1472.4,2204.4,2894.9,5268.9,10280.2,15429.8,18047.1,20174.2,24371.5,27714.3,31936.7,1033.8,2030.3,3110.5,4636.5,7566.6,11984,16074.1,18327.1,21941.4,25318.2,28473.2,32405.9,959.9,1919.2,3278,6273.9,10147.9,16380.9,20973.7,24927.4,30886.4,34682.2,37660.8,42740.4,1800.6,3608.4,6665.2,10466.6,13842.3,18495.9,22124.7,26380.4,32777.2,,,
Тамбовская область,695,2431.9,3438.4,5248.8,7375.4,11297.9,15303.5,18684.7,23161.1,26126.8,29476.9,32733.2,643.1,1317.7,2091,3038.2,4638.2,7619.3,9440.1,11308.3,14110.8,17725.6,24644.2,33295.9,1386.8,2175.9,4046.8,5411.5,7669,11827.8,14605.2,17232.7,20719.2,23648.2,26562.5,29865.5,780.6,1810.5,2975.2,5006.1,7488.9,11334.5,14917,17723.9,20801.7,23669.8,26528.3,30797.9,955.8,1902.2,3585.2,6055,8764.3,12464.2,16579.3,19528.5,22326.2,25361.1,28101.6,32248.5,2293.3,3286.1,5027.7,7557.8,11140,14966,19268.2,22798.4,26659.9,29874.1,32803,37264.9,1995.8,3251.3,4803,6974,10049.2,13897.4,18637.1,22978,27238.5,30681.6,33525.2,36623.3,2422.5,4533.8,6606,8639,12669.9,16479.8,21171.4,25493.4,29755.9,33258.2,36144.2,39981,1297.9,2844.9,4530.1,7246.9,10468.8,16314.5,19782.1,23518,28353,33819.8,38576.5,43123.7,1416.1,2827.2,4350.7,6284,10670,15767.2,20212.3,24725.2,29192.9,,,
Тверская область,609.9,1428.4,2479.3,3421.2,4722.7,6193.8,7866.2,9292.6,10773.3,13928.6,15536.2,26126.8,775.2,1597.8,5392.1,7225.7,9558.9,13226,15742.9,17224.3,22420.9,23880.3,25311.5,31217.7,449.4,1358,3391.5,5293.2,7353.6,9832.2,11335.2,12411.7,14982.3,18930.5,20691.3,24268.7,550.4,1351.1,2864.9,3584.5,4742.3,10273.4,12115.2,16099.5,19342,22253.7,25313.1,29032.5,1227.9,2347.8,5736.2,8602.1,11832.1,15521.1,18866,22636,26336.8,29360.8,32192.4,37166.7,1981.1,4717.2,6943.6,9611.8,12798.4,16554.5,21160.8,24699.1,27509.6,30250.5,33346.9,38359.3,1077,2822.4,4168.4,5827.7,8670.5,12374.4,16775.9,21148.8,27314.1,33591.5,38645.2,42709.3,1056.9,4134.8,8220.6,10974.8,14473.9,17653.7,25217.9,29437.2,40891.3,51647.8,58485.8,72234.5,1370.5,6398.9,8799.1,16756.2,22940.3,30466.8,37994.7,45844.7,60714.9,67209.4,74093.5,79741,3358.3,10880.7,14075.5,22397,33793.3,43837.3,56338.1,65839,74767.3,,,
Тульская область,985.9,2235.6,4205.7,5818.2,8148.9,11419.6,13939,16751.8,19849.4,23684.5,27012.1,41727.1,2084.2,3922.8,6564.5,8967.1,11464.6,14835.3,19530.1,24912.5,28695,32992.4,36932,42264.1,2264.9,4194,6798.9,9528,13003.4,16919.5,21543,28037.2,34489.6,39006.9,44827.4,50147.3,3315.4,5231.8,8659.8,11473.1,18247.3,26199.2,36457,44284.4,55950.6,69805.8,75910.9,82340.1,2242.5,4892,7727.5,11450.8,16312.9,24410.3,37096.3,48228.6,57794.1,68504.5,79131.8,91350.3,3162.5,6819.3,13109.6,17940.1,25893.9,36629.1,46398.3,57168.2,66545.7,78783,88721.4,106271.1,3463.7,7055.2,16967.8,22226,28750.7,42278.2,54233.6,63424.1,75641.3,85600.7,93121.2,108407.5,1462.7,3372.2,9223.8,15769.9,22570.8,30786.9,43744.7,55796.5,72152.4,80915.3,97669.7,129350.2,3425.7,6317.1,10122.6,14870.4,20393.4,34132.6,43514.2,54798.1,66709.6,73999.9,82284.5,95182.8,3779.9,7093,14580.2,21625.5,27408.2,37889.8,49325.2,63638.5,76847,,,
Ярославская область,2300.6,4652.9,7150.7,11343.3,13841.5,16992.2,20901.7,24145.7,26896.7,34682.8,37701.4,46224.8,2656.1,6138.6,11449.2,14480.2,17744.9,20640.1,25475.8,30769.7,36258.4,40833.8,45136.9,51456.2,15633.7,18740.9,22350.7,27073.7,30447,35043.3,39573.7,44546.4,47577.6,51582,54439.3,59309.8,1602.9,3300.9,5537.3,7888.6,11299.1,15943.9,19355.8,23829.1,27871.6,32731.2,36745.9,41706.4,3810,6191.2,8533.5,11063,14610.2,18936.5,23814.9,28124.4,33256.6,38417.8,43547.6,52632.8,2463.2,4665.4,9525.9,13755.4,17561.4,26962.8,33065.4,39854,48695,57494.3,67097.3,75075,2486.3,5300,8655.5,14058.7,21192.9,27884,33153.2,40298.6,50964,59203.4,67815.8,81415.3,7756.8,10137.6,13477.8,17880.8,25344.8,33702.9,40011.8,47220.4,53914.1,64904.9,80527.6,90629.6,4569.8,8367.9,11694.2,16981.1,22120.2,27006.2,34070.4,40473.2,47616.7,54483.8,58787.1,72623.3,7062.1,15054.1,20042.1,33655.5,40189.4,45086.6,54202.3,58168.1,63120.5,,,
