К содержанию,,,,,,,,
Строительство жилых домов по субъектам Российской Федерации в январе-июне 2025 года1,,,,,,,,
(тысяч квадратных метров общей площади жилых помещений),,,,,,,,
,"Введено, тыс кв м общей площади жилых помещений",,,,"Из общего объема - введено населением, тыс кв м общей площади жилых помещений",,,
,за январь-июнь 2025 года,в % к январю-июню 2024 года,в том числе за июнь 2025 года,в % к июню 2024 года,за январь-июнь 2025 года,в % к январю-июню 2024 года,в том числе за июнь 2025 года,в % к июню 2024 года
Тюменская область (без автономных округов),1189.22,87.27,239.88,102.99,755.48,108.73,89.02,67.1
Челябинская область,1070.15,103.72,116.73,57.0,855.14,116.31,79.1,55.14
Сибирский федеральный округ,5316.4,107.42,566.08,67.19,4077.81,122.64,384.6,69.06
Республика Алтай,219.92,158.84,27.94,146.05,217.59,174.11,27.94,146.05
Республика Тыва,357.16,227.59,41.24,161.3,309.19,226.61,13.69,53.56
Республика Хакасия,298.0,133.82,29.53,106.27,229.77,170.46,17.0,83.84
Алтайский край,501.28,89.5,40.6,40.63,383.66,104.02,39.48,64.89
Красноярский край,721.41,112.12,65.22,38.19,528.07,118.48,48.58,58.41
Иркутская область,1094.09,128.07,91.75,60.57,990.34,134.17,91.75,77.52
Кемеровская область - Кузбасс,313.89,81.59,60.41,82.25,205.21,71.42,25.32,41.44
Новосибирская область,1224.06,92.48,153.67,82.05,731.98,123.83,70.44,74.83
Омская область,454.26,102.94,37.09,58.88,392.38,104.54,31.78,63.16
Томская область,132.34,59.23,18.62,77.43,89.64,73.22,18.62,77.43
Дальневосточный федеральный округ,2209.26,94.03,370.45,93.35,1511.98,99.04,179.34,58.87
Республика Бурятия,392.48,106.14,35.88,67.61,257.04,110.22,30.97,58.35
Республика Саха (Якутия),368.17,99.92,48.22,91.56,283.76,117.06,32.73,63.55
Забайкальский край,236.74,96.44,30.73,77.29,210.74,96.9,19.03,59.78
Камчатский край,44.08,109.42,3.68,50.59,40.34,100.96,3.55,49.12
Приморский край,646.44,91.18,131.67,101.39,399.17,102.51,54.39,65.74
Хабаровский край,277.37,119.76,46.21,77.49,138.96,103.33,14.31,49.3
Амурская область,111.43,52.09,28.15,97.26,88.68,69.12,13.49,49.74
Магаданская область,3.62,165.75,0.49,170.14,3.62,165.75,0.49,170.14
Сахалинская область,104.64,72.41,42.57,183.37,72.2,61.29,10.15,51.54
Еврейская автономная область,22.35,106.69,2.85,139.77,16.97,80.98,0.23,11.18
Чукотский АО,1.94,59.1,-,-,0.51,116.44,-,-
"1 без учета статистической информации по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям.",,,,,,,,
